RecordNo,SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice,,,,,
31,2018-11-26,Buds,Grams,0,0,9713.43,138458.52,9713.43,138458.52,,,,,
31,2018-11-26,Buds,Each,658,18225.56,0,0,658,18225.56,,,,,
37,2018-11-27,Kief,Grams,0,0,79.5,375,79.5,375,,,,,
37,2018-11-27,Concentrate (Each),Each,1991,115325.97,0,0,1991,115325.97,,,,,
37,2018-11-27,Buds,Each,465,13392.6,0,0,465,13392.6,,,,,
37,2018-11-27,Concentrate,Grams,0,0,74.2,8414.66,74.2,8414.66,,,,,
37,2018-11-27,Infused (non-edible),Each,56,1751.74,0,0,56,1751.74,,,,,
37,2018-11-27,Infused (edible),Each,2149,51937.98,0,0,2149,51937.98,,,,,
37,2018-11-27,Buds,Grams,0,0,8840.1,127083.76,8840.1,127083.76,,,,,
44,2018-11-28,Buds,Grams,0,0,8671.14,123834.61,8671.14,123834.61,,,,,
44,2018-11-28,Concentrate,Grams,0,0,216.6,19043.18,216.6,19043.18,,,,,
44,2018-11-28,Buds,Each,1083,24806.63,0,0,1083,24806.63,,,,,
44,2018-11-28,Infused (non-edible),Each,72,2852.86,0,0,72,2852.86,,,,,
44,2018-11-28,Infused (edible),Each,2333,59846.47,0,0,2333,59846.47,,,,,
44,2018-11-28,Concentrate (Each),Each,1827,104062.6,0,0,1827,104062.6,,,,,
50,2018-11-29,Infused (edible),Each,1978,49645.81,0,0,1978,49645.81,,,,,
50,2018-11-29,Concentrate,Grams,0,0,337.9,26665.24,337.9,26665.24,,,,,
50,2018-11-29,Kief,Grams,0,0,68.9,324.5,68.9,324.5,,,,,
50,2018-11-29,Concentrate (Each),Each,1916,110076.01,0,0,1916,110076.01,,,,,
50,2018-11-29,Infused (non-edible),Each,65,2479.02,0,0,65,2479.02,,,,,
50,2018-11-29,Buds,Grams,0,0,8610.46,122988.48,8610.46,122988.48,,,,,
50,2018-11-29,Buds,Each,1364,33043.35,0,0,1364,33043.35,,,,,
57,2018-11-30,Infused (non-edible),Each,65,2156.87,0,0,65,2156.87,,,,,
57,2018-11-30,Concentrate,Grams,0,0,395.7,32724.85,395.7,32724.85,,,,,
57,2018-11-30,Concentrate (Each),Each,2413,136600.57,0,0,2413,136600.57,,,,,
57,2018-11-30,Infused (edible),Each,2459,66339.82,0,0,2459,66339.82,,,,,
57,2018-11-30,Buds,Each,2283,43098.08,0,0,2283,43098.08,,,,,
57,2018-11-30,Buds,Grams,0,0,10046.33,143105.1,10046.33,143105.1,,,,,
57,2018-11-30,Kief,Grams,0,0,164.3,775,164.3,775,,,,,
64,2018-12-01,Infused (edible),Each,2885,68948.78,0,0,2885,68948.78,,,,,
64,2018-12-01,Concentrate,Grams,0,0,363.8,40064.31,363.8,40064.31,,,,,
64,2018-12-01,Infused (non-edible),Each,60,2039.51,0,0,60,2039.51,,,,,
64,2018-12-01,Concentrate (Each),Each,2388,134890.91,0,0,2388,134890.91,,,,,
64,2018-12-01,Kief,Grams,0,0,100.7,475,100.7,475,,,,,
64,2018-12-01,Buds,Grams,0,0,7446.85,106046.33,7446.85,106046.33,,,,,
64,2018-12-01,Buds,Each,2899,66860.22,0,0,2899,66860.22,,,,,
71,2018-12-02,Infused (non-edible),Each,66,2245.01,0,0,66,2245.01,,,,,
71,2018-12-02,Buds,Grams,0,0,7743.08,109052.28,7743.08,109052.28,,,,,
71,2018-12-02,Concentrate (Each),Each,1994,114492.04,0,0,1994,114492.04,,,,,
71,2018-12-02,Buds,Each,3082,48606.98,0,0,3082,48606.98,,,,,
71,2018-12-02,Kief,Grams,0,0,31.8,150,31.8,150,,,,,
71,2018-12-02,Infused (edible),Each,2823,57128.76,0,0,2823,57128.76,,,,,
71,2018-12-02,Concentrate,Grams,0,0,137.1,17577.79,137.1,17577.79,,,,,
78,2018-12-03,Buds,Each,1851,30814.05,0,0,1851,30814.05,,,,,
78,2018-12-03,Infused (non-edible),Each,44,1440.24,0,0,44,1440.24,,,,,
78,2018-12-03,Infused (edible),Each,1701,39894.84,0,0,1701,39894.84,,,,,
78,2018-12-03,Buds,Grams,0,0,8432.32,115967.58,8432.32,115967.58,,,,,
78,2018-12-03,Concentrate (Each),Each,1732,83384.09,0,0,1732,83384.09,,,,,
83,2018-12-04,Concentrate (Each),Each,1658,78980.05,0,0,1658,78980.05,,,,,
83,2018-12-04,Buds,Each,1850,29094.48,0,0,1850,29094.48,,,,,
83,2018-12-04,Infused (edible),Each,2185,53078.47,0,0,2185,53078.47,,,,,
83,2018-12-04,Kief,Grams,0,0,15.9,75,15.9,75,,,,,
83,2018-12-04,Buds,Grams,0,0,7125.75,99527.07,7125.75,99527.07,,,,,
83,2018-12-04,Infused (non-edible),Each,53,1942.58,0,0,53,1942.58,,,,,
89,2018-12-05,Infused (non-edible),Each,59,2089,0,0,59,2089,,,,,
89,2018-12-05,Buds,Each,1557,24623.77,0,0,1557,24623.77,,,,,
89,2018-12-05,Concentrate (Each),Each,1952,92796.59,0,0,1952,92796.59,,,,,
89,2018-12-05,Buds,Grams,0,0,7765.12,108250.12,7765.12,108250.12,,,,,
89,2018-12-05,Infused (edible),Each,2180,55627.93,0,0,2180,55627.93,,,,,
89,2018-12-05,Concentrate,Grams,0,0,64.2,8658.45,64.2,8658.45,,,,,
95,2018-12-06,Concentrate,Grams,0,0,138.6,18719.33,138.6,18719.33,,,,,
95,2018-12-06,Infused (non-edible),Each,85,2750,0,0,85,2750,,,,,
95,2018-12-06,Buds,Grams,0,0,9218,128638.47,9218,128638.47,,,,,
95,2018-12-06,Concentrate (Each),Each,2112,99448.4,0,0,2112,99448.4,,,,,
95,2018-12-06,Infused (edible),Each,1459,43722.78,0,0,1459,43722.78,,,,,
95,2018-12-06,Kief,Grams,0,0,5.3,25,5.3,25,,,,,
95,2018-12-06,Buds,Each,1391,11983.49,0,0,1391,11983.49,,,,,
102,2018-12-07,Kief,Grams,0,0,15.9,75,15.9,75,,,,,
102,2018-12-07,Kief,Each,106,2624.35,0,0,106,2624.35,,,,,
102,2018-12-07,Buds,Grams,0,0,12560.33,171248.13,12560.33,171248.13,,,,,
102,2018-12-07,Buds,Each,2597,21795.71,0,0,2597,21795.71,,,,,
102,2018-12-07,Concentrate,Grams,0,0,139.2,18722.3,139.2,18722.3,,,,,
102,2018-12-07,Concentrate (Each),Each,2268,110864.85,0,0,2268,110864.85,,,,,
102,2018-12-07,Infused (non-edible),Each,57,1868.87,0,0,57,1868.87,,,,,
102,2018-12-07,Infused (edible),Each,1615,52638.22,0,0,1615,52638.22,,,,,
102,2018-12-07,Concentrate,Each,202,12080.59,0,0,202,12080.59,,,,,
111,2018-12-08,Infused (non-edible),Each,42,1430.01,0,0,42,1430.01,,,,,
111,2018-12-08,Buds,Each,2762,24843.25,0,0,2762,24843.25,,,,,
111,2018-12-08,Buds,Grams,0,0,11241.61,154432.54,11241.61,154432.54,,,,,
111,2018-12-08,Infused (edible),Each,2108,60710.19,0,0,2108,60710.19,,,,,
111,2018-12-08,Kief,Each,1,25,0,0,1,25,,,,,
111,2018-12-08,Concentrate,Each,70,4192.68,0,0,70,4192.68,,,,,
111,2018-12-08,Concentrate,Grams,0,0,144.7,17927.89,144.7,17927.89,,,,,
111,2018-12-08,Concentrate (Each),Each,2488,118974.38,0,0,2488,118974.38,,,,,
119,2018-12-09,Infused (edible),Each,1821,48214.42,0,0,1821,48214.42,,,,,
119,2018-12-09,Buds,Each,2089,16879.58,0,0,2089,16879.58,,,,,
119,2018-12-09,Infused (non-edible),Each,47,1735,0,0,47,1735,,,,,
119,2018-12-09,Kief,Each,3,75,0,0,3,75,,,,,
119,2018-12-09,Buds,Grams,0,0,9488.66,131569.21,9488.66,131569.21,,,,,
119,2018-12-09,Concentrate,Grams,0,0,158,19269.68,158,19269.68,,,,,
119,2018-12-09,Concentrate (Each),Each,1937,94115.53,0,0,1937,94115.53,,,,,
126,2018-12-10,Buds,Grams,0,0,8082.18,111699.31,8082.18,111699.31,,,,,
126,2018-12-10,Buds,Each,1942,15423.04,0,0,1942,15423.04,,,,,
126,2018-12-10,Infused (non-edible),Each,42,1410,0,0,42,1410,,,,,
126,2018-12-10,Concentrate,Grams,0,0,147.5,17989.1,147.5,17989.1,,,,,
126,2018-12-10,Concentrate (Each),Each,1686,81454.14,0,0,1686,81454.14,,,,,
126,2018-12-10,Concentrate,Each,1,60,0,0,1,60,,,,,
126,2018-12-10,Infused (edible),Each,1418,39390.24,0,0,1418,39390.24,,,,,
133,2018-12-11,Buds,Grams,0,0,8748.15,121459.5,8748.15,121459.5,,,,,
133,2018-12-11,Buds,Each,1541,12256.2,0,0,1541,12256.2,,,,,
133,2018-12-11,Concentrate,Grams,0,0,212.5,25916.5,212.5,25916.5,,,,,
133,2018-12-11,Concentrate (Each),Each,1676,81744.42,0,0,1676,81744.42,,,,,
133,2018-12-11,Infused (non-edible),Each,54,1968,0,0,54,1968,,,,,
133,2018-12-11,Infused (edible),Each,1615,45620.05,0,0,1615,45620.05,,,,,
139,2018-12-12,Concentrate,Grams,0,0,192,23371.39,192,23371.39,,,,,
139,2018-12-12,Concentrate (Each),Each,1897,97675.47,0,0,1897,97675.47,,,,,
139,2018-12-12,Buds,Grams,0,0,7588.89,108230.51,7588.89,108230.51,,,,,
139,2018-12-12,Infused (edible),Each,1264,44304.56,0,0,1264,44304.56,,,,,
139,2018-12-12,Buds,Each,1242,9905.5,0,0,1242,9905.5,,,,,
139,2018-12-12,Infused (non-edible),Each,75,2800,0,0,75,2800,,,,,
145,2018-12-13,Concentrate,Grams,0,0,176,21403.16,176,21403.16,,,,,
145,2018-12-13,Infused (non-edible),Each,61,2329.09,0,0,61,2329.09,,,,,
145,2018-12-13,Infused (edible),Each,1667,52491.45,0,0,1667,52491.45,,,,,
145,2018-12-13,Concentrate (Each),Each,1738,91130.4,0,0,1738,91130.4,,,,,
145,2018-12-13,Buds,Grams,0,0,7908.19,112135.76,7908.19,112135.76,,,,,
145,2018-12-13,Kief,Each,87,2174.48,0,0,87,2174.48,,,,,
145,2018-12-13,Buds,Each,2556,20381.7,0,0,2556,20381.7,,,,,
152,2018-12-14,Concentrate (Each),Each,2296,116462.48,0,0,2296,116462.48,,,,,
152,2018-12-14,Buds,Grams,0,0,9467.21,130561.89,9467.21,130561.89,,,,,
152,2018-12-14,Kief,Each,120,2955.75,0,0,120,2955.75,,,,,
152,2018-12-14,Concentrate,Grams,0,0,223.5,27215.97,223.5,27215.97,,,,,
152,2018-12-14,Buds,Each,1514,12176.24,0,0,1514,12176.24,,,,,
152,2018-12-14,Infused (non-edible),Each,56,2618.15,0,0,56,2618.15,,,,,
152,2018-12-14,Concentrate,Each,5,310.89,0,0,5,310.89,,,,,
152,2018-12-14,Infused (edible),Each,2210,59653.73,0,0,2210,59653.73,,,,,
160,2018-12-15,Infused (non-edible),Each,667,39694.79,0,0,667,39694.79,,,,,
160,2018-12-15,Buds,Grams,0,0,10475.26,148148.77,10475.26,148148.77,,,,,
160,2018-12-15,Kief,Each,18,425.16,0,0,18,425.16,,,,,
160,2018-12-15,Concentrate,Grams,0,0,199,24209.06,199,24209.06,,,,,
160,2018-12-15,Shake/Trim (by strain),Grams,0,0,364,5430,364,5430,,,,,
160,2018-12-15,Concentrate (Each),Each,2397,117649.77,0,0,2397,117649.77,,,,,
160,2018-12-15,Buds,Each,944,7467.65,0,0,944,7467.65,,,,,
160,2018-12-15,Infused (edible),Each,2910,65337.24,0,0,2910,65337.24,,,,,
168,2018-12-16,Infused (non-edible),Each,630,37050.59,0,0,630,37050.59,,,,,
168,2018-12-16,Concentrate,Grams,0,0,217,26465.32,217,26465.32,,,,,
168,2018-12-16,Infused (edible),Each,1638,41459.98,0,0,1638,41459.98,,,,,
168,2018-12-16,Shake/Trim (by strain),Grams,0,0,224,3340,224,3340,,,,,
168,2018-12-16,Buds,Each,1406,11150.39,0,0,1406,11150.39,,,,,
168,2018-12-16,Buds,Grams,0,0,9687.07,134532.8,9687.07,134532.8,,,,,
168,2018-12-16,Concentrate (Each),Each,2200,108276.64,0,0,2200,108276.64,,,,,
175,2018-12-17,Concentrate,Grams,0,0,38.5,4695.46,38.5,4695.46,,,,,
175,2018-12-17,Concentrate (Each),Each,2388,117479.98,0,0,2388,117479.98,,,,,
175,2018-12-17,Shake/Trim (by strain),Grams,0,0,221,3297,221,3297,,,,,
175,2018-12-17,Infused (edible),Each,1073,31113.22,0,0,1073,31113.22,,,,,
175,2018-12-17,Buds,Each,34,310.25,0,0,34,310.25,,,,,
175,2018-12-17,Infused (non-edible),Each,516,31016,0,0,516,31016,,,,,
175,2018-12-17,Buds,Grams,0,0,10595.07,148299.79,10595.07,148299.79,,,,,
182,2018-12-18,Buds,Each,588,8888.94,0,0,588,8888.94,,,,,
182,2018-12-18,Concentrate (Each),Each,2476,118554.55,0,0,2476,118554.55,,,,,
182,2018-12-18,Infused (edible),Each,925,24586.86,0,0,925,24586.86,,,,,
182,2018-12-18,Infused (non-edible),Each,521,32541.95,0,0,521,32541.95,,,,,
182,2018-12-18,Buds,Grams,0,0,10355.91,146063.25,10355.91,146063.25,,,,,
182,2018-12-18,Shake/Trim (by strain),Grams,0,0,201,2956,201,2956,,,,,
188,2018-12-19,Buds,Each,585,4799,0,0,585,4799,,,,,
188,2018-12-19,Infused (non-edible),Each,511,31145,0,0,511,31145,,,,,
188,2018-12-19,Infused (edible),Each,474,19963.49,0,0,474,19963.49,,,,,
188,2018-12-19,Concentrate (Each),Each,2950,141604.38,0,0,2950,141604.38,,,,,
188,2018-12-19,Shake/Trim (by strain),Grams,0,0,90,1350,90,1350,,,,,
188,2018-12-19,Buds,Grams,0,0,11128.06,156222.74,11128.06,156222.74,,,,,
194,2018-12-20,Buds,Each,2446,29123.35,0,0,2446,29123.35,,,,,
194,2018-12-20,Infused (non-edible),Each,480,33384.92,0,0,480,33384.92,,,,,
194,2018-12-20,Concentrate,Each,173,10196.42,0,0,173,10196.42,,,,,
194,2018-12-20,Shake/Trim (by strain),Grams,0,0,1,9,1,9,,,,,
194,2018-12-20,Infused (edible),Each,610,21106.68,0,0,610,21106.68,,,,,
194,2018-12-20,Buds,Grams,0,0,11749.45,164471.92,11749.45,164471.92,,,,,
194,2018-12-20,Concentrate (Each),Each,2654,129448.06,0,0,2654,129448.06,,,,,
201,2018-12-21,Infused (non-edible),Each,402,28530,0,0,402,28530,,,,,
201,2018-12-21,Concentrate,Grams,0,0,249.1,3112.08,249.1,3112.08,,,,,
201,2018-12-21,Infused (edible),Each,1534,40496.16,0,0,1534,40496.16,,,,,
201,2018-12-21,Shake/Trim (by strain),Grams,0,0,370,5477.56,370,5477.56,,,,,
201,2018-12-21,Buds,Grams,0,0,10541.8,153494.12,10541.8,153494.12,,,,,
201,2018-12-21,Concentrate (Each),Each,3183,152533.45,0,0,3183,152533.45,,,,,
201,2018-12-21,Concentrate,Each,172,10224.01,0,0,172,10224.01,,,,,
201,2018-12-21,Kief,Grams,0,0,169.6,886,169.6,886,,,,,
201,2018-12-21,Buds,Each,2133,25477.84,0,0,2133,25477.84,,,,,
210,2018-12-22,Infused (non-edible),Each,394,30842,0,0,394,30842,,,,,
210,2018-12-22,Concentrate,Each,207,12247.22,0,0,207,12247.22,,,,,
210,2018-12-22,Concentrate,Grams,0,0,49,3452.69,49,3452.69,,,,,
210,2018-12-22,Buds,Each,2707,32204.28,0,0,2707,32204.28,,,,,
210,2018-12-22,Concentrate (Each),Each,3811,188999.15,0,0,3811,188999.15,,,,,
210,2018-12-22,Buds,Grams,0,0,12137.16,196398.43,12137.16,196398.43,,,,,
210,2018-12-22,Shake/Trim (by strain),Grams,0,0,557,8900.94,557,8900.94,,,,,
210,2018-12-22,Kief,Grams,0,0,46,1363.82,46,1363.82,,,,,
210,2018-12-22,Infused (edible),Each,2913,65431.03,0,0,2913,65431.03,,,,,
219,2018-12-23,Infused (edible),Each,2447,56612.88,0,0,2447,56612.88,,,,,
219,2018-12-23,Shake/Trim (by strain),Grams,0,0,528,8332.26,528,8332.26,,,,,
219,2018-12-23,Infused (non-edible),Each,283,19950,0,0,283,19950,,,,,
219,2018-12-23,Concentrate,Each,6,360,0,0,6,360,,,,,
219,2018-12-23,Kief,Grams,0,0,19,570,19,570,,,,,
219,2018-12-23,Concentrate,Grams,0,0,28,2001.6,28,2001.6,,,,,
219,2018-12-23,Buds,Grams,0,0,12372.19,177566.94,12372.19,177566.94,,,,,
219,2018-12-23,Concentrate (Each),Each,3363,167639.02,0,0,3363,167639.02,,,,,
219,2018-12-23,Buds,Each,589,7057.11,0,0,589,7057.11,,,,,
228,2018-12-24,Infused (edible),Each,1242,27155.23,0,0,1242,27155.23,,,,,
228,2018-12-24,Infused (non-edible),Each,206,11207,0,0,206,11207,,,,,
228,2018-12-24,Concentrate (Each),Each,2375,117111.93,0,0,2375,117111.93,,,,,
228,2018-12-24,Buds,Grams,0,0,8016.83,112159.1,8016.83,112159.1,,,,,
228,2018-12-24,Buds,Each,9,90.43,0,0,9,90.43,,,,,
228,2018-12-24,Concentrate,Each,1,60,0,0,1,60,,,,,
228,2018-12-24,Shake/Trim (by strain),Grams,0,0,92,1350,92,1350,,,,,
235,2018-12-26,Buds,Grams,0,0,15164.95,220058.54,15164.95,220058.54,,,,,
235,2018-12-26,Buds,Each,1311,15732,0,0,1311,15732,,,,,
235,2018-12-26,Shake/Trim (by strain),Grams,0,0,552.25,8809.1,552.25,8809.1,,,,,
235,2018-12-26,Infused (non-edible),Each,306,16445,0,0,306,16445,,,,,
235,2018-12-26,Concentrate,Each,3,180,0,0,3,180,,,,,
235,2018-12-26,Infused (edible),Each,1507,35737.41,0,0,1507,35737.41,,,,,
235,2018-12-26,Concentrate (Each),Each,3873,210897.31,0,0,3873,210897.31,,,,,
235,2018-12-26,Concentrate,Grams,0,0,74,6257.71,74,6257.71,,,,,
235,2018-12-26,Kief,Grams,0,0,32,960,32,960,,,,,
244,2018-12-27,Kief,Grams,0,0,31,930,31,930,,,,,
244,2018-12-27,Concentrate (Each),Each,4003,221235.85,0,0,4003,221235.85,,,,,
244,2018-12-27,Concentrate,Grams,0,0,37,2664,37,2664,,,,,
244,2018-12-27,Infused (non-edible),Each,405,24456.4,0,0,405,24456.4,,,,,
244,2018-12-27,Concentrate,Each,8,480,0,0,8,480,,,,,
244,2018-12-27,Buds,Grams,0,0,15885.5,232209.71,15885.5,232209.71,,,,,
244,2018-12-27,Infused (edible),Each,2064,45623.73,0,0,2064,45623.73,,,,,
244,2018-12-27,Shake/Trim (by strain),Grams,0,0,491.25,7734.84,491.25,7734.84,,,,,
244,2018-12-27,Buds,Each,576,6899.8,0,0,576,6899.8,,,,,
253,2018-12-28,Infused (non-edible),Each,343,19645,0,0,343,19645,,,,,
253,2018-12-28,Kief,Grams,0,0,40,1200,40,1200,,,,,
253,2018-12-28,Buds,Each,52,624,0,0,52,624,,,,,
253,2018-12-28,Infused (edible),Each,2272,45377.28,0,0,2272,45377.28,,,,,
253,2018-12-28,Shake/Trim (by strain),Grams,0,0,632.25,10141.8,632.25,10141.8,,,,,
253,2018-12-28,Concentrate,Grams,0,0,40,2880,40,2880,,,,,
253,2018-12-28,Buds,Grams,0,0,15798.84,225193.28,15798.84,225193.28,,,,,
253,2018-12-28,Concentrate,Each,7,360.01,0,0,7,360.01,,,,,
253,2018-12-28,Concentrate (Each),Each,3989,224543.65,0,0,3989,224543.65,,,,,
262,2018-12-29,Buds,Grams,0,0,14332.9,206455.06,14332.9,206455.06,,,,,
262,2018-12-29,Buds,Each,2402,28555.85,0,0,2402,28555.85,,,,,
262,2018-12-29,Concentrate (Each),Each,3490,197136.87,0,0,3490,197136.87,,,,,
262,2018-12-29,Shake/Trim (by strain),Grams,0,0,582,9393,582,9393,,,,,
262,2018-12-29,Kief,Grams,0,0,43,1290,43,1290,,,,,
262,2018-12-29,Infused (non-edible),Each,267,19690,0,0,267,19690,,,,,
262,2018-12-29,Concentrate,Grams,0,0,56,4032,56,4032,,,,,
262,2018-12-29,Infused (edible),Each,2006,35460.02,0,0,2006,35460.02,,,,,
270,2018-12-30,Infused (non-edible),Each,220,13600,0,0,220,13600,,,,,
270,2018-12-30,Concentrate (Each),Each,3208,181328,0,0,3208,181328,,,,,
270,2018-12-30,Infused (edible),Each,944,18441.61,0,0,944,18441.61,,,,,
270,2018-12-30,Kief,Grams,0,0,21,630,21,630,,,,,
270,2018-12-30,Shake/Trim (by strain),Grams,0,0,520.25,8317.2,520.25,8317.2,,,,,
270,2018-12-30,Buds,Grams,0,0,14298.78,202496.26,14298.78,202496.26,,,,,
270,2018-12-30,Buds,Each,1716,20523.63,0,0,1716,20523.63,,,,,
270,2018-12-30,Concentrate,Grams,0,0,26,1872,26,1872,,,,,
278,2018-12-31,Buds,Each,2053,24532.2,0,0,2053,24532.2,,,,,
278,2018-12-31,Infused (non-edible),Each,83,5691,0,0,83,5691,,,,,
278,2018-12-31,Shake/Trim (by strain),Grams,0,0,427.5,6847.2,427.5,6847.2,,,,,
278,2018-12-31,Concentrate,Grams,0,0,31,1992,31,1992,,,,,
278,2018-12-31,Concentrate,Each,155,9120.02,0,0,155,9120.02,,,,,
278,2018-12-31,Kief,Grams,0,0,36,1080,36,1080,,,,,
278,2018-12-31,Buds,Grams,0,0,10186.49,148043.25,10186.49,148043.25,,,,,
278,2018-12-31,Concentrate (Each),Each,2480,137907.27,0,0,2480,137907.27,,,,,
278,2018-12-31,Infused (edible),Each,635,15443.84,0,0,635,15443.84,,,,,
287,2019-01-01,Concentrate (Each),Each,1499,76780.27,0,0,1499,76780.27,,,,,
287,2019-01-01,Concentrate,Each,19,1080.01,0,0,19,1080.01,,,,,
287,2019-01-01,Buds,Each,868,10218.21,0,0,868,10218.21,,,,,
287,2019-01-01,Buds,Grams,0,0,4201.2,59262.68,4201.2,59262.68,,,,,
287,2019-01-01,Infused (edible),Each,296,9216.01,0,0,296,9216.01,,,,,
292,2019-01-02,Concentrate,Each,82,4860.36,0,0,82,4860.36,,,,,
292,2019-01-02,Buds,Each,1652,19555.43,0,0,1652,19555.43,,,,,
292,2019-01-02,Shake/Trim (by strain),Grams,0,0,329.75,5274.6,329.75,5274.6,,,,,
292,2019-01-02,Kief,Grams,0,0,12,360,12,360,,,,,
292,2019-01-02,Concentrate (Each),Each,2809,147551.2,0,0,2809,147551.2,,,,,
292,2019-01-02,Concentrate,Grams,0,0,33,2532,33,2532,,,,,
292,2019-01-02,Infused (edible),Each,1236,30727.37,0,0,1236,30727.37,,,,,
292,2019-01-02,Infused (non-edible),Each,125,8640,0,0,125,8640,,,,,
292,2019-01-02,Buds,Grams,0,0,11173.32,159792.35,11173.32,159792.35,,,,,
301,2019-01-03,Buds,Each,526,6239.69,0,0,526,6239.69,,,,,
301,2019-01-03,Infused (non-edible),Each,208,13615.02,0,0,208,13615.02,,,,,
301,2019-01-03,Buds,Grams,0,0,11933.69,169249.51,11933.69,169249.51,,,,,
301,2019-01-03,Shake/Trim (by strain),Grams,0,0,411,6384.02,411,6384.02,,,,,
301,2019-01-03,Concentrate,Grams,0,0,37.5,2826,37.5,2826,,,,,
301,2019-01-03,Concentrate,Each,86,5100.01,0,0,86,5100.01,,,,,
301,2019-01-03,Infused (edible),Each,873,19828.13,0,0,873,19828.13,,,,,
301,2019-01-03,Concentrate (Each),Each,2475,137233.32,0,0,2475,137233.32,,,,,
309,2019-01-04,Shake/Trim (by strain),Grams,0,0,589.75,9061.76,589.75,9061.76,,,,,
309,2019-01-04,Infused (edible),Each,719,17433.63,0,0,719,17433.63,,,,,
309,2019-01-04,Buds,Each,8,96,0,0,8,96,,,,,
309,2019-01-04,Concentrate (Each),Each,3126,166567.54,0,0,3126,166567.54,,,,,
309,2019-01-04,Concentrate,Each,167,9611.34,0,0,167,9611.34,,,,,
309,2019-01-04,Infused (non-edible),Each,370,24190,0,0,370,24190,,,,,
309,2019-01-04,Concentrate,Grams,0,0,42.5,2748,42.5,2748,,,,,
309,2019-01-04,Buds,Grams,0,0,14570.95,207534.26,14570.95,207534.26,,,,,
317,2019-01-05,Concentrate,Grams,0,0,41,2844,41,2844,,,,,
317,2019-01-05,Buds,Each,1706,20266.23,0,0,1706,20266.23,,,,,
317,2019-01-05,Concentrate (Each),Each,2990,173215.92,0,0,2990,173215.92,,,,,
317,2019-01-05,Infused (non-edible),Each,261,17990,0,0,261,17990,,,,,
317,2019-01-05,Infused (edible),Each,1604,34532.46,0,0,1604,34532.46,,,,,
317,2019-01-05,Buds,Grams,0,0,14766.47,212562.72,14766.47,212562.72,,,,,
